name,domain,kind
high bandwidth flash,Edge,borderline
ai distillation,Edge,mature
llm quantization,Edge,mature
qualcomm npu,Edge,product
open-weight ai model,Edge,too_broad
ai knowledge distillation,Edge,mature
anthropic claude model,Edge,product
ai kill switch,Edge,off_topic
lossless ai model compression,Edge,weak_signal
neuromorphic ai models,Edge,weak_signal
frontier ai models,Edge,too_broad
neuromorphic ai model,Edge,weak_signal
ai model optimization,Edge,too_broad
edge ai inference accelerator,Edge,too_broad
ai inference acceleration,Edge,too_broad
tinyml hardware accelerator,Edge,borderline
agentic large model,Edge,too_broad
domain-specific security analysis,Edge,not_a_technology
binary-quantized neural networks,Edge,mature
tiny llm,Edge,borderline
adaptive multimodal transformer,Edge,too_broad
tabular foundation model,Edge,off_topic
self-supervised speech model,Edge,mature
self-supervised speech models,Edge,mature
on-device ai inference,Edge,too_broad
smart medical beds,Edge,off_topic
printed circuit board defect detection,Edge,mature
radar automatic target recognition,Edge,mature
lossless neural network weight compression,Edge,weak_signal
ai-enabled wearable sensors,Edge,too_broad
ai-powered tech,Edge,not_a_technology
ai model distillation,Edge,mature
ai-enabled wireless sensor networks,Edge,too_broad
8-bit quantized neural network,Edge,mature
edge ai chip,Edge,too_broad
intelligent hmi,Edge,too_broad
semiconductor investment,Edge,not_a_technology
moonshot ai,Edge,product
on-device model adaptation,Edge,borderline
8-bit quantized neural networks,Edge,mature
cybersecurity ai model,Edge,too_broad
quantized neural networks,Edge,mature
ai optimization engine,Edge,too_broad
real-time driver behavior recognition,Edge,mature
straight-through estimator,Edge,mature
driver behavior recognition,Edge,mature
intrinsic core,Edge,not_a_technology
intelligent visual perception,Edge,too_broad
mlperf,Edge,product
ai safety rules,Edge,not_a_technology
film cooling effectiveness prediction,Edge,off_topic
quantization security,Edge,borderline
tinybert model,Edge,mature
local stability analysis,Edge,not_a_technology
radiation-induced bit-flip,Edge,off_topic
bit ai,Edge,not_a_technology
quantized neural network,Edge,mature
on-device training,Edge,borderline
high-performance computing architecture,Edge,too_broad
semiconductor value chain,Edge,not_a_technology
low-power core,Edge,too_broad
liquid metal patterning,Edge,off_topic
siri ai,Edge,product
frontier ai,Edge,too_broad
wearable navigation devices,Edge,too_broad
rtl generation,Edge,off_topic
ultra-low-power mcu,Edge,mature
edge ai hardware,Edge,too_broad
smartphone photography,Edge,mature
full-frame sensor,Edge,mature
input-quantized neural network,Edge,mature
